"County","Year","Employee Income","Taxes Paid","Disposable Income per Household","Disposable Income per Person","Disposable Income per Person Minus Rent","Self Employed Income","Capital Gains","Primary Income","Income from Rent","Social Benefits","Total Income per Household","Total Income per Person"
"Limerick","2016","3841","1807","4222","21306","19393","452","146","4769","330","1259","6028","30424"
"Limerick","2017","4050","1909","4511","22518","20716","505","200","5103","349","1317","6420","32045"
"Limerick","2018","4269","2015","4731","23302","20703","515","196","5405","425","1341","6746","33223"
"Longford","2000","252","118","357","11518","10836","87","13","373","20","102","474","15313"
"Longford","2001","285","124","404","12932","12331","88","14","410","24","118","528","16907"
"Longford","2002","309","128","446","14367","13985","89","13","438","27","136","574","18492"
"Longford","2003","355","147","487","15329","14962","94","17","492","26","142","634","19953"
"Longford","2004","381","176","514","15801","15584","107","19","529","22","160","689","21199"
"Longford","2005","427","197","568","16972","16658","123","16","586","19","179","766","22863"
"Longford","2006","477","216","609","17540","16903","116","12","624","19","200","825","23750"
"Longford","2007","513","224","661","18284","17236","119","2","666","32","219","885","24470"
"Longford","2008","534","217","718","19268","18040","108","-3","689","50","246","935","25088"
"Longford","2009","471","203","679","17894","17350","86","11","602","33","281","883","23252"
"Longford","2010","443","187","662","17159","16108","72","11","566","40","282","848","21997"
"Longford","2011","417","183","629","16169","15411","72","9","535","37","277","812","20877"
"Longford","2012","419","194","654","16760","15906","69","26","557","43","292","849","21736"
"Longford","2013","436","203","649","16540","15347","61","23","563","42","289","852","21711"
"Longford","2014","431","212","636","16094","14747","68","25","569","45","279","848","21476"
"Longford","2015","466","226","664","16662","15330","71","25","613","52","276","890","22331"
"Longford","2016","478","226","678","16823","15485","82","19","627","47","277","904","22434"
"Longford","2017","510","238","731","17943","16672","86","26","672","50","297","969","23783"
"Longford","2018","509","235","719","17410","15629","68","24","662","61","292","954","23097"
"Louth","2000","1111","545","1191","12518","11619","187","51","1430","81","306","1736","18245"
"Louth","2001","1241","577","1391","14463","13642","213","55","1609","99","360","1968","20466"
"Louth","2002","1370","633","1505","14777","14232","186","50","1720","113","418","2138","20997"
"Louth","2003","1470","684","1606","15483","14945","212","62","1853","108","437","2290","22082"
"Louth","2004","1569","633","1818","17203","16848","231","69","1964","94","487","2451","23191"
"Louth","2005","1739","699","1988","18428","17980","273","60","2153","81","534","2686","24905"
"Louth","2006","1836","736","2089","18903","18097","269","42","2225","78","600","2825","25565"
"Louth","2007","2018","795","2295","20138","18823","284","7","2437","128","653","3090","27112"
"Louth","2008","2065","749","2495","21276","19796","261","-11","2504","188","740","3243","27663"
"Louth","2009","1906","751","2369","19839","19175","211","43","2287","127","833","3120","26126"
"Louth","2010","1705","642","2263","18773","17461","168","41","2071","157","834","2904","24097"
"Louth","2011","1602","712","2059","16805","15684","156","33","1954","163","817","2771","22614"
"Louth","2012","1556","732","2114","17183","16062","154","92","1975","173","871","2847","23135"
"Louth","2013","1584","753","2096","16955","15464","155","81","1988","168","861","2849","23051"
"Louth","2014","1627","798","2089","16789","15107","164","92","2064","181","823","2887","23203"
"Louth","2015","1749","846","2183","17388","15710","162","89","2205","205","824","3029","24123"
"Louth","2016","1887","877","2295","18075","16213","175","72","2346","213","826","3172","24986"
"Louth","2017","2088","958","2491","19402","17601","180","102","2595","225","853","3449","26864"
"Louth","2018","2233","1006","2600","19987","17482","156","100","2764","274","843","3606","27721"
"Mayo","2000","953","440","1300","11572","10835","302","50","1382","78","358","1740","15483"
"Mayo","2001","1049","452","1462","12865","12197","306","52","1500","94","415","1914","16842"
"Mayo","2002","1121","462","1595","13580","13129","310","46","1583","106","474","2057","17513"
"Mayo","2003","1272","530","1727","14422","13988","331","59","1764","102","493","2258","18850"
"Mayo","2004","1384","610","1852","15176","14900","371","68","1912","89","550","2462","20177"
"Mayo","2005","1498","663","2025","16270","15905","442","58","2075","77","613","2688","21594"
"Mayo","2006","1604","697","2095","16517","15842","411","41","2130","74","662","2792","22015"
"Mayo","2007","1726","742","2248","17260","16154","422","6","2278","124","712","2990","22954"
"Mayo","2008","1815","726","2463","18494","17209","405","-10","2394","185","794","3188","23942"
"Mayo","2009","1700","737","2380","17665","17071","345","42","2213","126","904","3117","23134"
"Mayo","2010","1626","667","2355","17396","16223","316","43","2143","157","879","3022","22324"
"Mayo","2011","1483","677","2134","16382","15365","291","34","1965","158","846","2811","21581"
"Mayo","2012","1476","714","2195","16784","15727","288","95","2034","175","875","2909","22239"
"Mayo","2013","1466","712","2120","16132","14722","256","81","1972","169","860","2832","21553"
"Mayo","2014","1521","773","2122","16045","14453","279","93","2075","182","820","2895","21890"
"Mayo","2015","1512","770","2145","16071","14485","286","85","2090","207","825","2915","21839"
"Mayo","2016","1651","802","2241","16607","15062","312","68","2217","186","826","3043","22552"
"Mayo","2017","1767","849","2399","17583","16103","332","94","2389","196","859","3248","23805"
"Mayo","2018","1878","923","2469","17851","15783","324","92","2533","239","859","3392","24528"
"Meath","2000","1436","697","1539","12421","11449","346","70","1967","114","268","2235","18043"
"Meath","2001","1626","751","1809","14046","13168","389","77","2232","141","328","2560","19875"
"Meath","2002","1754","797","1957","14606","13977","366","69","2352","163","403","2755","20556"
"Meath","2003","1976","902","2156","15598","14966","403","88","2628","161","430","3058","22122"
"Meath","2004","2273","1059","2413","16892","16483","458","105","2982","145","490","3472","24305"
"Meath","2005","2672","1237","2750","18505","17998","539","95","3436","129","551","3987","26833"
"Meath","2006","3098","1461","3083","19959","19028","604","74","3903","127","641","4544","29418"
"Meath","2007","3399","1572","3399","21149","19608","658","12","4278","210","693","4971","30930"
"Meath","2008","3583","1542","3685","22248","20563","574","-19","4444","305","784","5227","31558"
"Meath","2009","3196","1417","3409","20213","19491","466","75","3942","204","884","4826","28616"
"Meath","2010","2939","1301","3290","19258","17777","447","74","3710","250","880","4591","26870"
"Meath","2011","2851","1399","3067","16704","15532","431","62","3606","263","860","4466","24325"
"Meath","2012","2885","1495","3163","17156","16040","424","176","3760","274","898","4658","25266"
"Meath","2013","2833","1468","3118","16834","15237","454","152","3704","266","881","4585","24759"
"Meath","2014","2988","1589","3201","17168","15345","479","175","3928","286","861","4790","25691"
"Meath","2015","3234","1689","3396","18054","16278","494","171","4222","323","864","5086","27033"
"Meath","2016","3459","1744","3613","18997","16895","525","137","4475","354","883","5358","28167"
"Meath","2017","3936","1958","4043","21021","18990","545","198","5058","379","943","6001","31202"
"Meath","2018","4212","2014","4212","21609","18703","438","193","5309","466","917","6226","31940"
"Monaghan","2000","442","206","582","10981","10331","143","23","640","32","148","788","14868"
"Monaghan","2001","482","210","659","12315","11747","150","24","694","39","175","869","16229"
"Monaghan","2002","509","207","705","13412","13038","142","21","715","44","198","913","17355"
"Monaghan","2003","578","237","760","14189","13807","145","27","793","43","205","997","18613"
"Monaghan","2004","675","280","851","15587","15367","156","32","901","38","230","1131","20722"
"Monaghan","2005","750","312","935","16786","16456","182","28","994","34","253","1247","22379"
"Monaghan","2006","808","331","966","16923","16255","160","19","1020","33","277","1297","22727"
"Monaghan","2007","883","349","1057","17958","16870","166","3","1106","54","300","1406","23884"
"Monaghan","2008","892","321","1124","18567","17363","140","-5","1106","79","339","1445","23867"
"Monaghan","2009","774","297","1038","16832","16295","103","18","948","53","388","1336","21654"
"Monaghan","2010","715","272","1020","16388","15342","119","18","917","64","375","1293","20762"
"Monaghan","2011","718","313","965","16001","15133","124","16","922","65","355","1278","21184"
"Monaghan","2012","629","293","939","15506","14598","116","40","856","70","376","1232","20343"
"Monaghan","2013","659","310","933","15335","14095","109","36","872","68","371","1243","20428"
"Monaghan","2014","696","343","950","15520","14108","129","42","940","73","354","1294","21126"
"Monaghan","2015","756","373","1008","16304","14914","150","42","1030","83","350","1380","22332"
"Monaghan","2016","801","376","1028","16448","14998","144","32","1057","80","347","1403","22458"
"Monaghan","2017","861","398","1119","17710","16331","158","45","1149","84","368","1517","24006"
"Monaghan","2018","838","372","1119","17471","15537","137","41","1119","103","371","1490","23276"
"Offaly","2000","554","258","689","11063","10360","156","28","779","41","167","946","15202"
"Offaly","2001","623","275","788","12423","11804","162","30","864","50","198","1063","16758"
"Offaly","2002","673","284","868","13635","13230","162","27","918","57","233","1152","18093"
"Offaly","2003","779","333","958","14706","14305","176","35","1046","56","244","1291","19815"
"Offaly","2004","841","365","1049","15748","15495","206","40","1137","50","277","1414","21220"
"Offaly","2005","947","406","1160","16906","16544","228","35","1253","44","312","1566","22817"
"Offaly","2006","1064","452","1244","17492","16789","216","26","1349","43","347","1696","23841"
"Offaly","2007","1118","463","1325","17889","16760","215","4","1408","71","379","1788","24136"
"Offaly","2008","1142","434","1423","18634","17388","191","-6","1431","104","426","1857","24321"
"Offaly","2009","1004","406","1329","17076","16515","150","24","1247","70","488","1735","22298"
"Offaly","2010","924","363","1286","16274","15182","132","23","1164","85","484","1649","20867"
"Offaly","2011","853","381","1177","15389","14451","131","19","1088","86","469","1558","20375"
"Offaly","2012","845","396","1208","15739","14781","119","52","1110","94","495","1604","20895"
"Offaly","2013","878","413","1209","15672","14379","114","46","1128","91","494","1622","21026"
"Offaly","2014","899","443","1210","15585","14125","124","52","1173","97","480","1653","21287"
"Offaly","2015","941","460","1248","15922","14479","127","50","1228","110","480","1708","21795"
"Offaly","2016","988","465","1283","16194","14685","138","39","1271","107","477","1748","22069"
"Offaly","2017","1069","497","1378","17203","15758","149","54","1385","112","490","1875","23406"
"Offaly","2018","1059","491","1372","16907","14910","125","50","1370","137","494","1864","22959"
"Roscommon","2000","435","194","600","11558","10826","153","23","647","36","147","794","15300"
"Roscommon","2001","484","205","676","12916","12262","158","24","709","43","172","881","16829"
"Roscommon","2002","521","215","746","13878","13460","170","22","761","48","200","961","17872"
"Roscommon","2003","590","240","805","14675","14249","172","28","837","47","208","1045","19059"
"Roscommon","2004","654","291","858","15360","15088","188","32","917","42","233","1150","20576"
"Roscommon","2005","743","334","968","16994","16629","230","29","1038","37","264","1303","22855"
"Roscommon","2006","824","358","1023","17609","16895","212","21","1092","36","289","1381","23781"
"Roscommon","2007","865","373","1078","18081","16889","208","3","1138","61","313","1451","24330"
"Roscommon","2008","911","349","1189","19507","18147","195","-5","1190","90","348","1539","25233"
"Roscommon","2009","836","339","1132","18352","17739","165","20","1082","60","390","1471","23850"
"Roscommon","2010","793","319","1092","17622","16417","146","21","1034","74","377","1411","22763"
"Roscommon","2011","749","341","1012","15839","14907","145","17","983","73","369","1353","21174"
"Roscommon","2012","738","355","1037","16160","15180","142","47","1009","81","383","1392","21701"
"Roscommon","2013","731","353","999","15503","14163","123","40","972","78","380","1352","20988"
"Roscommon","2014","765","386","1016","15666","14147","135","46","1031","84","371","1402","21612"
"Roscommon","2015","764","387","1031","15753","14253","143","42","1045","96","373","1418","21658"
"Roscommon","2016","845","406","1088","16444","14970","155","34","1121","86","374","1494","22579"
"Roscommon","2017","897","429","1177","17592","16189","167","47","1202","91","404","1606","23997"
"Roscommon","2018","934","456","1195","17625","15645","156","45","1246","111","405","1651","24347"
"Sligo","2000","512","218","646","11202","10396","116","25","697","44","166","863","14983"
"Sligo","2001","573","231","736","12634","11889","121","27","773","53","194","967","16601"
"Sligo","2002","644","257","812","13950","13422","122","25","849","59","220","1069","18373"
"Sligo","2003","723","298","882","14874","14383","138","32","948","56","232","1180","19905"
"Sligo","2004","811","347","962","15923","15630","152","37","1048","48","261","1309","21673"
"Sligo","2005","853","369","1038","16832","16443","188","31","1113","41","294","1407","22823"
"Sligo","2006","927","400","1095","17344","16633","186","22","1175","39","321","1496","23682"
"Sligo","2007","1017","435","1196","18366","17172","195","3","1282","66","350","1631","25044"
"Sligo","2008","1031","410","1284","19158","17799","180","-6","1305","99","389","1694","25275"
"Sligo","2009","978","414","1239","18145","17540","153","23","1221","67","432","1653","24211"
"Sligo","2010","929","372","1219","17701","16498","134","23","1168","82","424","1592","23105"
"Sligo","2011","825","372","1091","16725","15717","126","18","1049","80","413","1462","22427"
"Sligo","2012","836","398","1135","17341","16274","122","51","1099","90","433","1533","23413"
"Sligo","2013","848","399","1120","17028","15570","113","45","1093","87","426","1519","23101"
"Sligo","2014","858","426","1116","16861","15214","129","50","1131","94","412","1543","23300"
"Sligo","2015","900","444","1157","17324","15697","131","48","1185","106","416","1601","23966"
"Sligo","2016","909","434","1174","17385","15731","146","36","1191","100","417","1609","23816"
"Sligo","2017","989","464","1278","18707","17121","145","51","1290","105","452","1742","25503"
"Sligo","2018","978","474","1267","18306","16105","142","47","1295","128","446","1741","25154"
"Tipperary","2000","1202","550","1588","11407","10699","380","62","1737","92","402","2138","15361"
"Tipperary","2001","1377","621","1836","12963","12344","422","68","1978","111","479","2457","17343"
"Tipperary","2002","1484","628","1990","14203","13798","396","61","2067","126","551","2618","18682"
"Tipperary","2003","1632","689","2135","15040","14627","416","76","2246","122","578","2824","19894"
"Tipperary","2004","1755","774","2276","15778","15515","455","85","2402","108","649","3050","21144"
"Tipperary","2005","1959","863","2511","17045","16685","528","74","2654","94","720","3374","22904"
"Tipperary","2006","2219","985","2737","18188","17484","558","56","2924","91","798","3722","24730"
"Tipperary","2007","2446","1057","2994","19320","18171","590","9","3194","150","858","4051","26139"
"Tipperary","2008","2340","940","3117","19646","18312","550","-13","3106","230","951","4057","25572"
"Tipperary","2009","2211","943","2998","18700","18089","442","54","2864","158","1077","3941","24584"
"Tipperary","2010","2052","870","2940","18265","17036","439","55","2742","196","1068","3810","23674"
"Tipperary","2011","1839","909","2732","17261","16270","522","44","2597","191","1045","3642","23006"
"Tipperary","2012","1835","931","2770","17430","16359","430","122","2604","217","1098","3702","23291"
"Tipperary","2013","1916","1023","2891","18103","16641","588","116","2831","210","1083","3914","24512"
"Tipperary","2014","1982","1063","2806","17457","15811","492","126","2825","226","1043","3869","24069"
"Tipperary","2015","2102","1099","2898","17865","16247","474","119","2951","255","1046","3997","24641"
"Tipperary","2016","2132","1067","3041","18541","16925","468","89","2925","235","1183","4108","25048"
"Tipperary","2017","2318","1162","3276","19754","18213","555","127","3248","248","1190","4438","26764"
"Tipperary","2018","2469","1274","3306","19673","17505","578","126","3472","299","1107","4580","27251"
"Waterford","2000","1068","514","1219","12334","11530","242","51","1436","75","297","1732","17530"
"Waterford","2001","1138","521","1382","13718","13009","269","53","1550","90","352","1902","18889"
"Waterford","2002","1276","560","1517","14938","14480","240","49","1667","103","409","2077","20451"
"Waterford","2003","1359","593","1611","15610","15153","261","60","1777","97","428","2204","21360"
"Waterford","2004","1471","631","1771","16839","16566","289","68","1913","84","489","2402","22835"
"Waterford","2005","1586","677","1910","17727","17346","327","57","2042","72","545","2586","24007"
"Waterford","2006","1682","735","1999","18091","17370","348","41","2140","69","595","2734","24742"
"Waterford","2007","1878","811","2216","19413","18224","380","6","2379","115","648","3027","26516"
"Waterford","2008","1881","760","2366","20199","18874","352","-10","2392","169","734","3126","26688"
"Waterford","2009","1648","700","2217","18686","18087","287","40","2090","115","828","2917","24590"
"Waterford","2010","1557","649","2162","18123","16915","262","40","2001","143","809","2810","23564"
"Waterford","2011","1410","666","1947","17161","16115","254","31","1838","143","775","2614","23034"
"Waterford","2012","1413","702","2016","17698","16607","241","89","1901","158","817","2718","23855"
"Waterford","2013","1455","734","2005","17520","16045","248","79","1935","153","804","2739","23934"
"Waterford","2014","1583","823","2088","18122","16439","287","95","2130","164","781","2911","25266"
"Waterford","2015","1675","857","2165","18617","16965","289","91","2242","186","780","3022","25989"
"Waterford","2016","1671","818","2145","18250","16592","279","67","2190","173","774","2963","25210"
"Waterford","2017","1708","837","2280","19180","17601","311","90","2290","182","826","3117","26221"
"Waterford","2018","1824","926","2363","19616","17387","343","90","2479","222","810","3289","27305"
"Westmeath","2000","716","336","816","12097","11235","157","34","963","55","190","1152","17082"
"Westmeath","2001","815","364","944","13686","12916","164","37","1083","67","226","1309","18967"
"Westmeath","2002","875","379","1039","14453","13938","164","34","1147","75","270","1417","19723"
"Westmeath","2003","1002","442","1146","15594","15118","186","44","1303","72","285","1589","21611"
"Westmeath","2004","1034","449","1226","16306","15997","208","48","1352","62","323","1675","22272"
"Westmeath","2005","1122","489","1331","17185","16781","242","41","1459","54","361","1820","23493"
"Westmeath","2006","1219","526","1399","17416","16681","225","29","1524","51","400","1925","23967"
"Westmeath","2007","1328","559","1527","18261","17078","229","4","1646","84","440","2085","24942"
"Westmeath","2008","1351","525","1645","19090","17751","208","-7","1677","125","493","2170","25176"
"Westmeath","2009","1237","505","1585","18051","17453","172","29","1522","84","568","2090","23798"
"Westmeath","2010","1196","481","1561","17507","16335","156","30","1485","103","557","2042","22899"
"Westmeath","2011","1066","490","1399","16282","15279","157","23","1351","104","538","1888","21981"
"Westmeath","2012","1059","513","1445","16756","15731","152","65","1389","113","569","1958","22700"
"Westmeath","2013","1074","522","1427","16462","15065","138","56","1379","110","570","1949","22485"
"Westmeath","2014","1099","551","1437","16469","14889","154","64","1435","118","553","1988","22789"
"Westmeath","2015","1166","580","1497","17005","15444","160","62","1521","134","556","2077","23594"
"Westmeath","2016","1226","587","1549","17400","15745","175","48","1581","131","555","2136","23997"
"Westmeath","2017","1293","613","1641","18239","16657","180","66","1677","138","577","2255","25055"
"Westmeath","2018","1302","615","1632","17889","15702","148","61","1680","168","567","2247","24633"
"Wexford","2000","941","441","1248","11461","10712","288","48","1354","77","335","1689","15508"
"Wexford","2001","1051","482","1435","12928","12247","323","52","1520","94","398","1917","17272"
"Wexford","2002","1170","505","1587","13611","13156","296","47","1621","107","471","2092","17939"
"Wexford","2003","1291","569","1717","14491","14017","332","60","1789","106","498","2286","19296"
"Wexford","2004","1385","611","1886","15621","15287","381","68","1931","96","566","2497","20681"
"Wexford","2005","1581","692","2106","17023","16598","438","60","2164","85","633","2798","22617"
"Wexford","2006","1797","800","2337","18421","17657","495","46","2423","84","715","3137","24725"
"Wexford","2007","2057","907","2630","20068","18807","554","8","2759","141","778","3538","26991"
"Wexford","2008","2116","864","2851","21199","19747","517","-12","2832","212","883","3716","27625"
"Wexford","2009","1855","792","2665","19565","18882","400","46","2445","144","1012","3457","25380"
"Wexford","2010","1697","705","2602","18999","17687","381","46","2302","178","1004","3306","24144"
"Wexford","2011","1547","726","2400","16561","15507","362","36","2126","180","1000","3126","21573"
"Wexford","2012","1535","759","2471","16982","15901","350","102","2183","196","1047","3230","22198"
"Wexford","2013","1615","807","2481","16977","15551","359","92","2257","190","1031","3288","22497"
"Wexford","2014","1747","908","2553","17351","15728","403","110","2465","205","996","3461","23524"
"Wexford","2015","1917","976","2690","18118","16507","409","108","2666","232","1000","3666","24689"
"Wexford","2016","1874","918","2638","17572","15967","396","78","2563","215","993","3555","23685"
"Wexford","2017","1937","943","2758","18172","16633","422","106","2692","227","1009","3701","24382"
"Wexford","2018","2057","1061","2890","18787","16629","505","107","2945","277","1006","3951","25683"
"Wicklow","2000","1238","593","1407","12467","11445","311","62","1720","110","279","2000","17717"
"Wicklow","2001","1406","638","1634","14288","13324","337","67","1945","134","328","2272","19867"
"Wicklow","2002","1553","689","1780","15522","14781","303","61","2070","154","399","2469","21529"
"Wicklow","2003","1690","743","1928","16295","15569","336","76","2251","149","420","2671","22577"
"Wicklow","2004","1866","903","2025","16567","16072","367","87","2451","132","477","2928","23956"
"Wicklow","2005","2046","985","2197","17282","16703","421","74","2655","115","527","3183","25030"
"Wicklow","2006","2250","1109","2358","17836","16901","461","54","2877","111","590","3467","26228"
"Wicklow","2007","2479","1204","2585","18797","17282","495","9","3163","181","627","3790","27554"
"Wicklow","2008","2539","1138","2796","19722","17992","437","-14","3227","264","706","3933","27747"
"Wicklow","2009","2334","1148","2571","17811","17008","369","56","2936","177","782","3718","25765"
"Wicklow","2010","2190","1032","2557","17488","15985","347","56","2811","218","778","3589","24544"
"Wicklow","2011","2023","1047","2323","17053","15618","315","45","2612","230","759","3371","24739"
"Wicklow","2012","2037","1112","2409","17612","16210","309","127","2714","240","808","3521","25740"
"Wicklow","2013","2017","1091","2392","17406","15554","319","110","2679","233","804","3483","25342"
"Wicklow","2014","2104","1155","2453","17730","15643","347","126","2827","250","782","3608","26082"
"Wicklow","2015","2296","1240","2609","18689","16602","353","124","3056","284","792","3849","27568"
"Wicklow","2016","2473","1293","2748","19472","17140","371","99","3239","297","802","4041","28630"
"Wicklow","2017","2765","1422","3020","21157","18897","394","142","3615","314","827","4442","31123"
"Wicklow","2018","2949","1451","3165","21883","18749","309","137","3779","383","837","4616","31914"
