"Year","Region","Method","Male Population","Female Population"
"2017","Border","M1F2 Dublin Inflow","198058","198989"
"2017","Border","M1F2 Dublin Outflow","198269","199202"
"2017","Border","M2F2 Dublin Inflow","197663","198613"
"2017","Border","M2F2 Dublin Outflow","197868","198830"
"2017","Border","M3F2 Dublin Inflow","197266","198241"
"2017","Border","M3F2 Dublin Outflow","197475","198465"
"2017","Dublin","M1F2 Dublin Inflow","665530","694115"
"2017","Dublin","M1F2 Dublin Outflow","664411","692721"
"2017","Dublin","M2F2 Dublin Inflow","663385","692099"
"2017","Dublin","M2F2 Dublin Outflow","662267","690706"
"2017","Dublin","M3F2 Dublin Inflow","661224","690088"
"2017","Dublin","M3F2 Dublin Outflow","660111","688688"
"2017","Mid-East","M1F2 Dublin Inflow","347631","353938"
"2017","Mid-East","M1F2 Dublin Outflow","348010","354347"
"2017","Mid-East","M2F2 Dublin Inflow","347087","353335"
"2017","Mid-East","M2F2 Dublin Outflow","347467","353753"
"2017","Mid-East","M3F2 Dublin Inflow","346541","352747"
"2017","Mid-East","M3F2 Dublin Outflow","346922","353158"
"2017","Mid-West","M1F2 Dublin Inflow","238032","239342"
"2017","Mid-West","M1F2 Dublin Outflow","237996","239420"
"2017","Mid-West","M2F2 Dublin Inflow","237567","238885"
"2017","Mid-West","M2F2 Dublin Outflow","237531","238970"
"2017","Mid-West","M3F2 Dublin Inflow","237106","238431"
"2017","Mid-West","M3F2 Dublin Outflow","237065","238516"
"2017","Midlands","M1F2 Dublin Inflow","148934","148794"
"2017","Midlands","M1F2 Dublin Outflow","149198","149130"
"2017","Midlands","M2F2 Dublin Inflow","148691","148567"
"2017","Midlands","M2F2 Dublin Outflow","148955","148901"
"2017","Midlands","M3F2 Dublin Inflow","148445","148338"
"2017","Midlands","M3F2 Dublin Outflow","148717","148674"
"2017","South-East","M1F2 Dublin Inflow","211153","213829"
"2017","South-East","M1F2 Dublin Outflow","211356","214114"
"2017","South-East","M2F2 Dublin Inflow","210913","213629"
"2017","South-East","M2F2 Dublin Outflow","211117","213919"
"2017","South-East","M3F2 Dublin Inflow","210675","213427"
"2017","South-East","M3F2 Dublin Outflow","210876","213716"
"2017","South-West","M1F2 Dublin Inflow","344192","349378"
"2017","South-West","M1F2 Dublin Outflow","344213","349411"
"2017","South-West","M2F2 Dublin Inflow","343520","348745"
"2017","South-West","M2F2 Dublin Outflow","343541","348781"
"2017","South-West","M3F2 Dublin Inflow","342836","348113"
"2017","South-West","M3F2 Dublin Outflow","342859","348143"
"2017","West","M1F2 Dublin Inflow","225226","226368"
"2017","West","M1F2 Dublin Outflow","225308","226394"
"2017","West","M2F2 Dublin Inflow","224826","225976"
"2017","West","M2F2 Dublin Outflow","224906","226006"
"2017","West","M3F2 Dublin Inflow","224427","225580"
"2017","West","M3F2 Dublin Outflow","224508","225617"
"2018","Border","M1F2 Dublin Inflow","199544","200795"
"2018","Border","M1F2 Dublin Outflow","200178","201439"
"2018","Border","M2F2 Dublin Inflow","198733","200028"
"2018","Border","M2F2 Dublin Outflow","199364","200688"
"2018","Border","M3F2 Dublin Inflow","197929","199277"
"2018","Border","M3F2 Dublin Outflow","198561","199930"
"2018","Dublin","M1F2 Dublin Inflow","678372","705980"
"2018","Dublin","M1F2 Dublin Outflow","674990","701778"
"2018","Dublin","M2F2 Dublin Inflow","674057","701937"
"2018","Dublin","M2F2 Dublin Outflow","670677","697718"
"2018","Dublin","M3F2 Dublin Inflow","669742","697884"
"2018","Dublin","M3F2 Dublin Outflow","666355","693683"
"2018","Mid-East","M1F2 Dublin Inflow","352559","359388"
"2018","Mid-East","M1F2 Dublin Outflow","353711","360642"
"2018","Mid-East","M2F2 Dublin Inflow","351446","358175"
"2018","Mid-East","M2F2 Dublin Outflow","352598","359427"
"2018","Mid-East","M3F2 Dublin Inflow","350329","356980"
"2018","Mid-East","M3F2 Dublin Outflow","351482","358228"
"2018","Mid-West","M1F2 Dublin Inflow","240378","241650"
"2018","Mid-West","M1F2 Dublin Outflow","240276","241901"
"2018","Mid-West","M2F2 Dublin Inflow","239434","240727"
"2018","Mid-West","M2F2 Dublin Outflow","239327","240986"
"2018","Mid-West","M3F2 Dublin Inflow","238487","239802"
"2018","Mid-West","M3F2 Dublin Outflow","238376","240064"
"2018","Midlands","M1F2 Dublin Inflow","150823","150771"
"2018","Midlands","M1F2 Dublin Outflow","151631","151786"
"2018","Midlands","M2F2 Dublin Inflow","150340","150318"
"2018","Midlands","M2F2 Dublin Outflow","151139","151321"
"2018","Midlands","M3F2 Dublin Inflow","149850","149854"
"2018","Midlands","M3F2 Dublin Outflow","150662","150866"
"2018","South-East","M1F2 Dublin Inflow","212760","215491"
"2018","South-East","M1F2 Dublin Outflow","213357","216357"
"2018","South-East","M2F2 Dublin Inflow","212268","215089"
"2018","South-East","M2F2 Dublin Outflow","212874","215955"
"2018","South-East","M3F2 Dublin Inflow","211780","214679"
"2018","South-East","M3F2 Dublin Outflow","212384","215547"
"2018","South-West","M1F2 Dublin Inflow","348418","353261"
"2018","South-West","M1F2 Dublin Outflow","348477","353360"
"2018","South-West","M2F2 Dublin Inflow","347057","351997"
"2018","South-West","M2F2 Dublin Outflow","347121","352084"
"2018","South-West","M3F2 Dublin Inflow","345694","350718"
"2018","South-West","M3F2 Dublin Outflow","345746","350805"
"2018","West","M1F2 Dublin Inflow","227106","228257"
"2018","West","M1F2 Dublin Outflow","227348","228343"
"2018","West","M2F2 Dublin Inflow","226296","227461"
"2018","West","M2F2 Dublin Outflow","226538","227551"
"2018","West","M3F2 Dublin Inflow","225479","226660"
"2018","West","M3F2 Dublin Outflow","225723","226757"
"2019","Border","M1F2 Dublin Inflow","200857","202390"
"2019","Border","M1F2 Dublin Outflow","202128","203693"
"2019","Border","M2F2 Dublin Inflow","199611","201233"
"2019","Border","M2F2 Dublin Outflow","200879","202550"
"2019","Border","M3F2 Dublin Inflow","198383","200075"
"2019","Border","M3F2 Dublin Outflow","199644","201389"
"2019","Dublin","M1F2 Dublin Inflow","691613","718530"
"2019","Dublin","M1F2 Dublin Outflow","684795","710067"
"2019","Dublin","M2F2 Dublin Inflow","685119","712437"
"2019","Dublin","M2F2 Dublin Outflow","678293","703952"
"2019","Dublin","M3F2 Dublin Inflow","678620","706333"
"2019","Dublin","M3F2 Dublin Outflow","671794","697866"
"2019","Mid-East","M1F2 Dublin Inflow","357366","364750"
"2019","Mid-East","M1F2 Dublin Outflow","359700","367272"
"2019","Mid-East","M2F2 Dublin Inflow","355667","362912"
"2019","Mid-East","M2F2 Dublin Outflow","357997","365432"
"2019","Mid-East","M3F2 Dublin Inflow","353957","361082"
"2019","Mid-East","M3F2 Dublin Outflow","356291","363602"
"2019","Mid-West","M1F2 Dublin Inflow","242710","243822"
"2019","Mid-West","M1F2 Dublin Outflow","242506","244324"
"2019","Mid-West","M2F2 Dublin Inflow","241270","242413"
"2019","Mid-West","M2F2 Dublin Outflow","241060","242933"
"2019","Mid-West","M3F2 Dublin Inflow","239817","241005"
"2019","Mid-West","M3F2 Dublin Outflow","239602","241524"
"2019","Midlands","M1F2 Dublin Inflow","152523","152511"
"2019","Midlands","M1F2 Dublin Outflow","154155","154544"
"2019","Midlands","M2F2 Dublin Inflow","151791","151820"
"2019","Midlands","M2F2 Dublin Outflow","153404","153848"
"2019","Midlands","M3F2 Dublin Inflow","151043","151116"
"2019","Midlands","M3F2 Dublin Outflow","152687","153156"
"2019","South-East","M1F2 Dublin Inflow","214164","216885"
"2019","South-East","M1F2 Dublin Outflow","215372","218626"
"2019","South-East","M2F2 Dublin Inflow","213411","216267"
"2019","South-East","M2F2 Dublin Outflow","214627","218006"
"2019","South-East","M3F2 Dublin Inflow","212662","215639"
"2019","South-East","M3F2 Dublin Outflow","213879","217386"
"2019","South-West","M1F2 Dublin Inflow","352437","356965"
"2019","South-West","M1F2 Dublin Outflow","352553","357151"
"2019","South-West","M2F2 Dublin Inflow","350379","355042"
"2019","South-West","M2F2 Dublin Outflow","350505","355220"
"2019","South-West","M3F2 Dublin Inflow","348323","353112"
"2019","South-West","M3F2 Dublin Outflow","348431","353287"
"2019","West","M1F2 Dublin Inflow","228866","230049"
"2019","West","M1F2 Dublin Outflow","229341","230222"
"2019","West","M2F2 Dublin Inflow","227626","228834"
"2019","West","M2F2 Dublin Outflow","228103","229013"
"2019","West","M3F2 Dublin Inflow","226377","227611"
"2019","West","M3F2 Dublin Outflow","226862","227794"
"2020","Border","M1F2 Dublin Inflow","201995","203786"
"2020","Border","M1F2 Dublin Outflow","204120","205970"
"2020","Border","M2F2 Dublin Inflow","200299","202217"
"2020","Border","M2F2 Dublin Outflow","202428","204412"
"2020","Border","M3F2 Dublin Inflow","198624","200643"
"2020","Border","M3F2 Dublin Outflow","200745","202838"
"2020","Dublin","M1F2 Dublin Inflow","705248","731760"
"2020","Dublin","M1F2 Dublin Outflow","693793","717563"
"2020","Dublin","M2F2 Dublin Inflow","696563","723599"
"2020","Dublin","M2F2 Dublin Outflow","685100","709377"
"2020","Dublin","M3F2 Dublin Inflow","687871","715426"
"2020","Dublin","M3F2 Dublin Outflow","676394","701220"
"2020","Mid-East","M1F2 Dublin Inflow","362066","370010"
"2020","Mid-East","M1F2 Dublin Outflow","365994","374260"
"2020","Mid-East","M2F2 Dublin Inflow","359741","367533"
"2020","Mid-East","M2F2 Dublin Outflow","363673","371773"
"2020","Mid-East","M3F2 Dublin Inflow","357413","365056"
"2020","Mid-East","M3F2 Dublin Outflow","361347","369299"
"2020","Mid-West","M1F2 Dublin Inflow","245031","245850"
"2020","Mid-West","M1F2 Dublin Outflow","244684","246696"
"2020","Mid-West","M2F2 Dublin Inflow","243069","243941"
"2020","Mid-West","M2F2 Dublin Outflow","242722","244806"
"2020","Mid-West","M3F2 Dublin Inflow","241097","242040"
"2020","Mid-West","M3F2 Dublin Outflow","240737","242898"
"2020","Midlands","M1F2 Dublin Inflow","154020","154000"
"2020","Midlands","M1F2 Dublin Outflow","156756","157412"
"2020","Midlands","M2F2 Dublin Inflow","153035","153071"
"2020","Midlands","M2F2 Dublin Outflow","155749","156479"
"2020","Midlands","M3F2 Dublin Inflow","152030","152130"
"2020","Midlands","M3F2 Dublin Outflow","154781","155549"
"2020","South-East","M1F2 Dublin Inflow","215360","218000"
"2020","South-East","M1F2 Dublin Outflow","217393","220914"
"2020","South-East","M2F2 Dublin Inflow","214337","217161"
"2020","South-East","M2F2 Dublin Outflow","216377","220074"
"2020","South-East","M3F2 Dublin Inflow","213316","216309"
"2020","South-East","M3F2 Dublin Outflow","215350","219229"
"2020","South-West","M1F2 Dublin Inflow","356247","360475"
"2020","South-West","M1F2 Dublin Outflow","356442","360775"
"2020","South-West","M2F2 Dublin Inflow","353482","357889"
"2020","South-West","M2F2 Dublin Outflow","353690","358183"
"2020","South-West","M3F2 Dublin Inflow","350723","355292"
"2020","South-West","M3F2 Dublin Outflow","350904","355587"
"2020","West","M1F2 Dublin Inflow","230502","231745"
"2020","West","M1F2 Dublin Outflow","231303","232034"
"2020","West","M2F2 Dublin Inflow","228815","230090"
"2020","West","M2F2 Dublin Outflow","229613","230392"
"2020","West","M3F2 Dublin Inflow","227115","228429"
"2020","West","M3F2 Dublin Outflow","227918","228734"
"2021","Border","M1F2 Dublin Inflow","202955","204982"
"2021","Border","M1F2 Dublin Outflow","206164","208275"
"2021","Border","M2F2 Dublin Inflow","200790","202976"
"2021","Border","M2F2 Dublin Outflow","204004","206280"
"2021","Border","M3F2 Dublin Inflow","198640","200977"
"2021","Border","M3F2 Dublin Outflow","201844","204278"
"2021","Dublin","M1F2 Dublin Inflow","719201","745594"
"2021","Dublin","M1F2 Dublin Outflow","701868","724153"
"2021","Dublin","M2F2 Dublin Inflow","708310","735356"
"2021","Dublin","M2F2 Dublin Outflow","690964","713882"
"2021","Dublin","M3F2 Dublin Inflow","697416","725097"
"2021","Dublin","M3F2 Dublin Outflow","680052","703643"
"2021","Mid-East","M1F2 Dublin Inflow","366655","375180"
"2021","Mid-East","M1F2 Dublin Outflow","372611","381606"
"2021","Mid-East","M2F2 Dublin Inflow","363668","372040"
"2021","Mid-East","M2F2 Dublin Outflow","369634","378464"
"2021","Mid-East","M3F2 Dublin Inflow","360698","368901"
"2021","Mid-East","M3F2 Dublin Outflow","366664","375322"
"2021","Mid-West","M1F2 Dublin Inflow","247332","247729"
"2021","Mid-West","M1F2 Dublin Outflow","246814","249010"
"2021","Mid-West","M2F2 Dublin Inflow","244829","245311"
"2021","Mid-West","M2F2 Dublin Outflow","244311","246610"
"2021","Mid-West","M3F2 Dublin Inflow","242312","242894"
"2021","Mid-West","M3F2 Dublin Outflow","241778","244188"
"2021","Midlands","M1F2 Dublin Inflow","155308","155225"
"2021","Midlands","M1F2 Dublin Outflow","159451","160384"
"2021","Midlands","M2F2 Dublin Inflow","154065","154056"
"2021","Midlands","M2F2 Dublin Outflow","158183","159213"
"2021","Midlands","M3F2 Dublin Inflow","152798","152881"
"2021","Midlands","M3F2 Dublin Outflow","156952","158044"
"2021","South-East","M1F2 Dublin Inflow","216353","218832"
"2021","South-East","M1F2 Dublin Outflow","219431","223225"
"2021","South-East","M2F2 Dublin Inflow","215043","217761"
"2021","South-East","M2F2 Dublin Outflow","218126","222157"
"2021","South-East","M3F2 Dublin Inflow","213734","216675"
"2021","South-East","M3F2 Dublin Outflow","216808","221078"
"2021","South-West","M1F2 Dublin Inflow","359841","363779"
"2021","South-West","M1F2 Dublin Outflow","360127","364221"
"2021","South-West","M2F2 Dublin Inflow","356353","360518"
"2021","South-West","M2F2 Dublin Outflow","356654","360951"
"2021","South-West","M3F2 Dublin Inflow","352881","357245"
"2021","South-West","M3F2 Dublin Outflow","353157","357680"
"2021","West","M1F2 Dublin Inflow","232008","233342"
"2021","West","M1F2 Dublin Outflow","233211","233783"
"2021","West","M2F2 Dublin Inflow","229853","231221"
"2021","West","M2F2 Dublin Outflow","231053","231678"
"2021","West","M3F2 Dublin Inflow","227680","229100"
"2021","West","M3F2 Dublin Outflow","228889","229561"
"2022","Border","M1F2 Dublin Inflow","203846","206120"
"2022","Border","M1F2 Dublin Outflow","208158","210538"
"2022","Border","M2F2 Dublin Inflow","201211","203668"
"2022","Border","M2F2 Dublin Outflow","205530","208101"
"2022","Border","M3F2 Dublin Inflow","198564","201229"
"2022","Border","M3F2 Dublin Outflow","202874","205654"
"2022","Dublin","M1F2 Dublin Inflow","733016","759306"
"2022","Dublin","M1F2 Dublin Outflow","709645","730478"
"2022","Dublin","M2F2 Dublin Inflow","719847","746922"
"2022","Dublin","M2F2 Dublin Outflow","696460","718057"
"2022","Dublin","M3F2 Dublin Inflow","706742","734568"
"2022","Dublin","M3F2 Dublin Outflow","683333","705718"
"2022","Mid-East","M1F2 Dublin Inflow","371123","380252"
"2022","Mid-East","M1F2 Dublin Outflow","379166","388913"
"2022","Mid-East","M2F2 Dublin Inflow","367483","376431"
"2022","Mid-East","M2F2 Dublin Outflow","375533","385092"
"2022","Mid-East","M3F2 Dublin Inflow","363823","372610"
"2022","Mid-East","M3F2 Dublin Outflow","371886","381268"
"2022","Mid-West","M1F2 Dublin Inflow","249553","249544"
"2022","Mid-West","M1F2 Dublin Outflow","248870","251263"
"2022","Mid-West","M2F2 Dublin Inflow","246510","246599"
"2022","Mid-West","M2F2 Dublin Outflow","245818","248333"
"2022","Mid-West","M3F2 Dublin Inflow","243425","243660"
"2022","Mid-West","M3F2 Dublin Outflow","242727","245391"
"2022","Midlands","M1F2 Dublin Inflow","156538","156404"
"2022","Midlands","M1F2 Dublin Outflow","162124","163348"
"2022","Midlands","M2F2 Dublin Inflow","155035","154983"
"2022","Midlands","M2F2 Dublin Outflow","160595","161927"
"2022","Midlands","M3F2 Dublin Inflow","153494","153574"
"2022","Midlands","M3F2 Dublin Outflow","159089","160520"
"2022","South-East","M1F2 Dublin Inflow","217256","219581"
"2022","South-East","M1F2 Dublin Outflow","221404","225479"
"2022","South-East","M2F2 Dublin Inflow","215662","218278"
"2022","South-East","M2F2 Dublin Outflow","219814","224177"
"2022","South-East","M3F2 Dublin Inflow","214041","216948"
"2022","South-East","M3F2 Dublin Outflow","218194","222856"
"2022","South-West","M1F2 Dublin Inflow","363306","366978"
"2022","South-West","M1F2 Dublin Outflow","363682","367559"
"2022","South-West","M2F2 Dublin Inflow","359079","363017"
"2022","South-West","M2F2 Dublin Outflow","359469","363590"
"2022","South-West","M3F2 Dublin Inflow","354878","359066"
"2022","South-West","M3F2 Dublin Outflow","355248","359637"
"2022","West","M1F2 Dublin Inflow","233424","234859"
"2022","West","M1F2 Dublin Outflow","235034","235461"
"2022","West","M2F2 Dublin Inflow","230799","232278"
"2022","West","M2F2 Dublin Outflow","232405","232897"
"2022","West","M3F2 Dublin Inflow","228137","229677"
"2022","West","M3F2 Dublin Outflow","229748","230297"
"2023","Border","M1F2 Dublin Inflow","204676","207212"
"2023","Border","M1F2 Dublin Outflow","210116","212776"
"2023","Border","M2F2 Dublin Inflow","201569","204312"
"2023","Border","M2F2 Dublin Outflow","207015","209894"
"2023","Border","M3F2 Dublin Inflow","198413","201408"
"2023","Border","M3F2 Dublin Outflow","203846","206981"
"2023","Dublin","M1F2 Dublin Inflow","746711","772915"
"2023","Dublin","M1F2 Dublin Outflow","717145","736554"
"2023","Dublin","M2F2 Dublin Inflow","731188","758315"
"2023","Dublin","M2F2 Dublin Outflow","701605","721910"
"2023","Dublin","M3F2 Dublin Inflow","715861","743852"
"2023","Dublin","M3F2 Dublin Outflow","686252","707463"
"2023","Mid-East","M1F2 Dublin Inflow","375481","385232"
"2023","Mid-East","M1F2 Dublin Outflow","385677","396189"
"2023","Mid-East","M2F2 Dublin Inflow","371195","380714"
"2023","Mid-East","M2F2 Dublin Outflow","381397","391673"
"2023","Mid-East","M3F2 Dublin Inflow","366820","376195"
"2023","Mid-East","M3F2 Dublin Outflow","377032","387147"
"2023","Mid-West","M1F2 Dublin Inflow","251710","251300"
"2023","Mid-West","M1F2 Dublin Outflow","250858","253451"
"2023","Mid-West","M2F2 Dublin Inflow","248119","247823"
"2023","Mid-West","M2F2 Dublin Outflow","247262","249996"
"2023","Mid-West","M3F2 Dublin Inflow","244449","244342"
"2023","Mid-West","M3F2 Dublin Outflow","243583","246514"
"2023","Midlands","M1F2 Dublin Inflow","157716","157535"
"2023","Midlands","M1F2 Dublin Outflow","164791","166305"
"2023","Midlands","M2F2 Dublin Inflow","155940","155852"
"2023","Midlands","M2F2 Dublin Outflow","162987","164624"
"2023","Midlands","M3F2 Dublin Inflow","154129","154207"
"2023","Midlands","M3F2 Dublin Outflow","161208","162979"
"2023","South-East","M1F2 Dublin Inflow","218075","220262"
