"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Population","2011","Both sexes","State","State","Number","4588252"
"Population","2011","Both sexes","State","Carlow","Number","54612"
"Population","2011","Both sexes","State","Dublin City","Number","527612"
"Population","2011","Both sexes","State","Dún Laoghaire-Rathdown","Number","206261"
"Population","2011","Both sexes","State","Fingal","Number","273991"
"Population","2011","Both sexes","State","South Dublin","Number","265205"
"Population","2011","Both sexes","State","Kildare","Number","210312"
"Population","2011","Both sexes","State","Kilkenny","Number","95419"
"Population","2011","Both sexes","State","Laois","Number","80559"
"Population","2011","Both sexes","State","Longford","Number","39000"
"Population","2011","Both sexes","State","Louth","Number","122897"
"Population","2011","Both sexes","State","Meath","Number","184135"
"Population","2011","Both sexes","State","Offaly","Number","76687"
"Population","2011","Both sexes","State","Westmeath","Number","86164"
"Population","2011","Both sexes","State","Wexford","Number","145320"
"Population","2011","Both sexes","State","Wicklow","Number","136640"
"Population","2011","Both sexes","State","Clare","Number","117196"
"Population","2011","Both sexes","State","Cork City","Number","119230"
"Population","2011","Both sexes","State","Cork County","Number","399802"
"Population","2011","Both sexes","State","Kerry","Number","145502"
"Population","2011","Both sexes","State","Limerick City and County","Number","191809"
"Population","2011","Both sexes","State","Tipperary","Number","158754"
"Population","2011","Both sexes","State","Waterford City and County","Number","113795"
"Population","2011","Both sexes","State","Galway City","Number","75529"
"Population","2011","Both sexes","State","Galway County","Number","175124"
"Population","2011","Both sexes","State","Leitrim","Number","31798"
"Population","2011","Both sexes","State","Mayo","Number","130638"
"Population","2011","Both sexes","State","Roscommon","Number","64065"
"Population","2011","Both sexes","State","Sligo","Number","65393"
"Population","2011","Both sexes","State","Cavan","Number","73183"
"Population","2011","Both sexes","State","Donegal","Number","161137"
"Population","2011","Both sexes","State","Monaghan","Number","60483"
"Population","2011","Both sexes","Aggregate Town Area","State","Number","2846882"
"Population","2011","Both sexes","Aggregate Town Area","Carlow","Number","26719"
"Population","2011","Both sexes","Aggregate Town Area","Dublin City","Number","527612"
"Population","2011","Both sexes","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","204354"
"Population","2011","Both sexes","Aggregate Town Area","Fingal","Number","252833"
"Population","2011","Both sexes","Aggregate Town Area","South Dublin","Number","259729"
"Population","2011","Both sexes","Aggregate Town Area","Kildare","Number","142171"
"Population","2011","Both sexes","Aggregate Town Area","Kilkenny","Number","35329"
"Population","2011","Both sexes","Aggregate Town Area","Laois","Number","38181"
"Population","2011","Both sexes","Aggregate Town Area","Longford","Number","12908"
"Population","2011","Both sexes","Aggregate Town Area","Louth","Number","79117"
"Population","2011","Both sexes","Aggregate Town Area","Meath","Number","105018"
"Population","2011","Both sexes","Aggregate Town Area","Offaly","Number","33626"
"Population","2011","Both sexes","Aggregate Town Area","Westmeath","Number","41823"
"Population","2011","Both sexes","Aggregate Town Area","Wexford","Number","55611"
"Population","2011","Both sexes","Aggregate Town Area","Wicklow","Number","88945"
"Population","2011","Both sexes","Aggregate Town Area","Clare","Number","46381"
"Population","2011","Both sexes","Aggregate Town Area","Cork City","Number","119230"
"Population","2011","Both sexes","Aggregate Town Area","Cork County","Number","204532"
"Population","2011","Both sexes","Aggregate Town Area","Kerry","Number","51479"
"Population","2011","Both sexes","Aggregate Town Area","Limerick City and County","Number","103399"
"Population","2011","Both sexes","Aggregate Town Area","Tipperary","Number","65878"
"Population","2011","Both sexes","Aggregate Town Area","Waterford City and County","Number","70647"
"Population","2011","Both sexes","Aggregate Town Area","Galway City","Number","75529"
"Population","2011","Both sexes","Aggregate Town Area","Galway County","Number","39546"
"Population","2011","Both sexes","Aggregate Town Area","Leitrim","Number","3314"
"Population","2011","Both sexes","Aggregate Town Area","Mayo","Number","37895"
"Population","2011","Both sexes","Aggregate Town Area","Roscommon","Number","16662"
"Population","2011","Both sexes","Aggregate Town Area","Sligo","Number","24334"
"Population","2011","Both sexes","Aggregate Town Area","Cavan","Number","22034"
"Population","2011","Both sexes","Aggregate Town Area","Donegal","Number","44274"
"Population","2011","Both sexes","Aggregate Town Area","Monaghan","Number","17772"
"Population","2011","Both sexes","Aggregate Rural Area","State","Number","1741370"
"Population","2011","Both sexes","Aggregate Rural Area","Carlow","Number","27893"
"Population","2011","Both sexes","Aggregate Rural Area","Dublin City","Number","0"
"Population","2011","Both sexes","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","1907"
"Population","2011","Both sexes","Aggregate Rural Area","Fingal","Number","21158"
"Population","2011","Both sexes","Aggregate Rural Area","South Dublin","Number","5476"
"Population","2011","Both sexes","Aggregate Rural Area","Kildare","Number","68141"
"Population","2011","Both sexes","Aggregate Rural Area","Kilkenny","Number","60090"
"Population","2011","Both sexes","Aggregate Rural Area","Laois","Number","42378"
"Population","2011","Both sexes","Aggregate Rural Area","Longford","Number","26092"
"Population","2011","Both sexes","Aggregate Rural Area","Louth","Number","43780"
"Population","2011","Both sexes","Aggregate Rural Area","Meath","Number","79117"
"Population","2011","Both sexes","Aggregate Rural Area","Offaly","Number","43061"
"Population","2011","Both sexes","Aggregate Rural Area","Westmeath","Number","44341"
"Population","2011","Both sexes","Aggregate Rural Area","Wexford","Number","89709"
"Population","2011","Both sexes","Aggregate Rural Area","Wicklow","Number","47695"
"Population","2011","Both sexes","Aggregate Rural Area","Clare","Number","70815"
"Population","2011","Both sexes","Aggregate Rural Area","Cork City","Number","0"
"Population","2011","Both sexes","Aggregate Rural Area","Cork County","Number","195270"
"Population","2011","Both sexes","Aggregate Rural Area","Kerry","Number","94023"
"Population","2011","Both sexes","Aggregate Rural Area","Limerick City and County","Number","88410"
"Population","2011","Both sexes","Aggregate Rural Area","Tipperary","Number","92876"
"Population","2011","Both sexes","Aggregate Rural Area","Waterford City and County","Number","43148"
"Population","2011","Both sexes","Aggregate Rural Area","Galway City","Number","0"
"Population","2011","Both sexes","Aggregate Rural Area","Galway County","Number","135578"
"Population","2011","Both sexes","Aggregate Rural Area","Leitrim","Number","28484"
"Population","2011","Both sexes","Aggregate Rural Area","Mayo","Number","92743"
"Population","2011","Both sexes","Aggregate Rural Area","Roscommon","Number","47403"
"Population","2011","Both sexes","Aggregate Rural Area","Sligo","Number","41059"
"Population","2011","Both sexes","Aggregate Rural Area","Cavan","Number","51149"
"Population","2011","Both sexes","Aggregate Rural Area","Donegal","Number","116863"
"Population","2011","Both sexes","Aggregate Rural Area","Monaghan","Number","42711"
"Population","2011","Male","State","State","Number","2272699"
"Population","2011","Male","State","Carlow","Number","27431"
"Population","2011","Male","State","Dublin City","Number","257303"
"Population","2011","Male","State","Dún Laoghaire-Rathdown","Number","98567"
"Population","2011","Male","State","Fingal","Number","134488"
"Population","2011","Male","State","South Dublin","Number","129544"
"Population","2011","Male","State","Kildare","Number","104658"
"Population","2011","Male","State","Kilkenny","Number","47788"
"Population","2011","Male","State","Laois","Number","40587"
"Population","2011","Male","State","Longford","Number","19649"
"Population","2011","Male","State","Louth","Number","60763"
"Population","2011","Male","State","Meath","Number","91910"
"Population","2011","Male","State","Offaly","Number","38430"
"Population","2011","Male","State","Westmeath","Number","42783"
"Population","2011","Male","State","Wexford","Number","71909"
"Population","2011","Male","State","Wicklow","Number","67542"
"Population","2011","Male","State","Clare","Number","58298"
"Population","2011","Male","State","Cork City","Number","58812"
"Population","2011","Male","State","Cork County","Number","198658"
"Population","2011","Male","State","Kerry","Number","72629"
"Population","2011","Male","State","Limerick City and County","Number","95815"
"Population","2011","Male","State","Tipperary","Number","79584"
"Population","2011","Male","State","Waterford City and County","Number","56464"
"Population","2011","Male","State","Galway City","Number","36514"
"Population","2011","Male","State","Galway County","Number","88244"
"Population","2011","Male","State","Leitrim","Number","16144"
"Population","2011","Male","State","Mayo","Number","65420"
"Population","2011","Male","State","Roscommon","Number","32353"
"Population","2011","Male","State","Sligo","Number","32435"
"Population","2011","Male","State","Cavan","Number","37013"
"Population","2011","Male","State","Donegal","Number","80523"
"Population","2011","Male","State","Monaghan","Number","30441"
"Population","2011","Male","Aggregate Town Area","State","Number","1389160"
"Population","2011","Male","Aggregate Town Area","Carlow","Number","13246"
"Population","2011","Male","Aggregate Town Area","Dublin City","Number","257303"
"Population","2011","Male","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","97673"
"Population","2011","Male","Aggregate Town Area","Fingal","Number","123778"
"Population","2011","Male","Aggregate Town Area","South Dublin","Number","126741"
"Population","2011","Male","Aggregate Town Area","Kildare","Number","70166"
"Population","2011","Male","Aggregate Town Area","Kilkenny","Number","17188"
"Population","2011","Male","Aggregate Town Area","Laois","Number","19089"
"Population","2011","Male","Aggregate Town Area","Longford","Number","6300"
"Population","2011","Male","Aggregate Town Area","Louth","Number","38703"
"Population","2011","Male","Aggregate Town Area","Meath","Number","51788"
"Population","2011","Male","Aggregate Town Area","Offaly","Number","16444"
"Population","2011","Male","Aggregate Town Area","Westmeath","Number","20528"
"Population","2011","Male","Aggregate Town Area","Wexford","Number","26981"
"Population","2011","Male","Aggregate Town Area","Wicklow","Number","43313"
"Population","2011","Male","Aggregate Town Area","Clare","Number","22520"
"Population","2011","Male","Aggregate Town Area","Cork City","Number","58812"
"Population","2011","Male","Aggregate Town Area","Cork County","Number","99809"
"Population","2011","Male","Aggregate Town Area","Kerry","Number","24879"
"Population","2011","Male","Aggregate Town Area","Limerick City and County","Number","50791"
"Population","2011","Male","Aggregate Town Area","Tipperary","Number","32170"
"Population","2011","Male","Aggregate Town Area","Waterford City and County","Number","34603"
"Population","2011","Male","Aggregate Town Area","Galway City","Number","36514"
"Population","2011","Male","Aggregate Town Area","Galway County","Number","19290"
"Population","2011","Male","Aggregate Town Area","Leitrim","Number","1605"
"Population","2011","Male","Aggregate Town Area","Mayo","Number","18290"
"Population","2011","Male","Aggregate Town Area","Roscommon","Number","8161"
"Population","2011","Male","Aggregate Town Area","Sligo","Number","11672"
"Population","2011","Male","Aggregate Town Area","Cavan","Number","10840"
"Population","2011","Male","Aggregate Town Area","Donegal","Number","21381"
"Population","2011","Male","Aggregate Town Area","Monaghan","Number","8582"
"Population","2011","Male","Aggregate Rural Area","State","Number","883539"
"Population","2011","Male","Aggregate Rural Area","Carlow","Number","14185"
"Population","2011","Male","Aggregate Rural Area","Dublin City","Number","0"
"Population","2011","Male","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","894"
"Population","2011","Male","Aggregate Rural Area","Fingal","Number","10710"
"Population","2011","Male","Aggregate Rural Area","South Dublin","Number","2803"
"Population","2011","Male","Aggregate Rural Area","Kildare","Number","34492"
"Population","2011","Male","Aggregate Rural Area","Kilkenny","Number","30600"
"Population","2011","Male","Aggregate Rural Area","Laois","Number","21498"
"Population","2011","Male","Aggregate Rural Area","Longford","Number","13349"
"Population","2011","Male","Aggregate Rural Area","Louth","Number","22060"
"Population","2011","Male","Aggregate Rural Area","Meath","Number","40122"
"Population","2011","Male","Aggregate Rural Area","Offaly","Number","21986"
"Population","2011","Male","Aggregate Rural Area","Westmeath","Number","22255"
"Population","2011","Male","Aggregate Rural Area","Wexford","Number","44928"
"Population","2011","Male","Aggregate Rural Area","Wicklow","Number","24229"
"Population","2011","Male","Aggregate Rural Area","Clare","Number","35778"
"Population","2011","Male","Aggregate Rural Area","Cork City","Number","0"
"Population","2011","Male","Aggregate Rural Area","Cork County","Number","98849"
"Population","2011","Male","Aggregate Rural Area","Kerry","Number","47750"
"Population","2011","Male","Aggregate Rural Area","Limerick City and County","Number","45024"
"Population","2011","Male","Aggregate Rural Area","Tipperary","Number","47414"
"Population","2011","Male","Aggregate Rural Area","Waterford City and County","Number","21861"
"Population","2011","Male","Aggregate Rural Area","Galway City","Number","0"
"Population","2011","Male","Aggregate Rural Area","Galway County","Number","68954"
"Population","2011","Male","Aggregate Rural Area","Leitrim","Number","14539"
"Population","2011","Male","Aggregate Rural Area","Mayo","Number","47130"
"Population","2011","Male","Aggregate Rural Area","Roscommon","Number","24192"
"Population","2011","Male","Aggregate Rural Area","Sligo","Number","20763"
"Population","2011","Male","Aggregate Rural Area","Cavan","Number","26173"
"Population","2011","Male","Aggregate Rural Area","Donegal","Number","59142"
"Population","2011","Male","Aggregate Rural Area","Monaghan","Number","21859"
"Population","2011","Female","State","State","Number","2315553"
"Population","2011","Female","State","Carlow","Number","27181"
"Population","2011","Female","State","Dublin City","Number","270309"
"Population","2011","Female","State","Dún Laoghaire-Rathdown","Number","107694"
"Population","2011","Female","State","Fingal","Number","139503"
"Population","2011","Female","State","South Dublin","Number","135661"
"Population","2011","Female","State","Kildare","Number","105654"
"Population","2011","Female","State","Kilkenny","Number","47631"
"Population","2011","Female","State","Laois","Number","39972"
"Population","2011","Female","State","Longford","Number","19351"
"Population","2011","Female","State","Louth","Number","62134"
"Population","2011","Female","State","Meath","Number","92225"
"Population","2011","Female","State","Offaly","Number","38257"
"Population","2011","Female","State","Westmeath","Number","43381"
"Population","2011","Female","State","Wexford","Number","73411"
"Population","2011","Female","State","Wicklow","Number","69098"
"Population","2011","Female","State","Clare","Number","58898"
"Population","2011","Female","State","Cork City","Number","60418"
"Population","2011","Female","State","Cork County","Number","201144"
"Population","2011","Female","State","Kerry","Number","72873"
"Population","2011","Female","State","Limerick City and County","Number","95994"
"Population","2011","Female","State","Tipperary","Number","79170"
"Population","2011","Female","State","Waterford City and County","Number","57331"
"Population","2011","Female","State","Galway City","Number","39015"
"Population","2011","Female","State","Galway County","Number","86880"
"Population","2011","Female","State","Leitrim","Number","15654"
"Population","2011","Female","State","Mayo","Number","65218"
"Population","2011","Female","State","Roscommon","Number","31712"
"Population","2011","Female","State","Sligo","Number","32958"
"Population","2011","Female","State","Cavan","Number","36170"
"Population","2011","Female","State","Donegal","Number","80614"
"Population","2011","Female","State","Monaghan","Number","30042"
"Population","2011","Female","Aggregate Town Area","State","Number","1457722"
"Population","2011","Female","Aggregate Town Area","Carlow","Number","13473"
"Population","2011","Female","Aggregate Town Area","Dublin City","Number","270309"
"Population","2011","Female","Aggregate Town Area","Dún Laoghaire-Rathdown","Number","106681"
"Population","2011","Female","Aggregate Town Area","Fingal","Number","129055"
"Population","2011","Female","Aggregate Town Area","South Dublin","Number","132988"
"Population","2011","Female","Aggregate Town Area","Kildare","Number","72005"
"Population","2011","Female","Aggregate Town Area","Kilkenny","Number","18141"
"Population","2011","Female","Aggregate Town Area","Laois","Number","19092"
"Population","2011","Female","Aggregate Town Area","Longford","Number","6608"
"Population","2011","Female","Aggregate Town Area","Louth","Number","40414"
"Population","2011","Female","Aggregate Town Area","Meath","Number","53230"
"Population","2011","Female","Aggregate Town Area","Offaly","Number","17182"
"Population","2011","Female","Aggregate Town Area","Westmeath","Number","21295"
"Population","2011","Female","Aggregate Town Area","Wexford","Number","28630"
"Population","2011","Female","Aggregate Town Area","Wicklow","Number","45632"
"Population","2011","Female","Aggregate Town Area","Clare","Number","23861"
"Population","2011","Female","Aggregate Town Area","Cork City","Number","60418"
"Population","2011","Female","Aggregate Town Area","Cork County","Number","104723"
"Population","2011","Female","Aggregate Town Area","Kerry","Number","26600"
"Population","2011","Female","Aggregate Town Area","Limerick City and County","Number","52608"
"Population","2011","Female","Aggregate Town Area","Tipperary","Number","33708"
"Population","2011","Female","Aggregate Town Area","Waterford City and County","Number","36044"
"Population","2011","Female","Aggregate Town Area","Galway City","Number","39015"
"Population","2011","Female","Aggregate Town Area","Galway County","Number","20256"
"Population","2011","Female","Aggregate Town Area","Leitrim","Number","1709"
"Population","2011","Female","Aggregate Town Area","Mayo","Number","19605"
"Population","2011","Female","Aggregate Town Area","Roscommon","Number","8501"
"Population","2011","Female","Aggregate Town Area","Sligo","Number","12662"
"Population","2011","Female","Aggregate Town Area","Cavan","Number","11194"
"Population","2011","Female","Aggregate Town Area","Donegal","Number","22893"
"Population","2011","Female","Aggregate Town Area","Monaghan","Number","9190"
"Population","2011","Female","Aggregate Rural Area","State","Number","857831"
"Population","2011","Female","Aggregate Rural Area","Carlow","Number","13708"
"Population","2011","Female","Aggregate Rural Area","Dublin City","Number","0"
"Population","2011","Female","Aggregate Rural Area","Dún Laoghaire-Rathdown","Number","1013"
"Population","2011","Female","Aggregate Rural Area","Fingal","Number","10448"
"Population","2011","Female","Aggregate Rural Area","South Dublin","Number","2673"
"Population","2011","Female","Aggregate Rural Area","Kildare","Number","33649"
"Population","2011","Female","Aggregate Rural Area","Kilkenny","Number","29490"
"Population","2011","Female","Aggregate Rural Area","Laois","Number","20880"
"Population","2011","Female","Aggregate Rural Area","Longford","Number","12743"
"Population","2011","Female","Aggregate Rural Area","Louth","Number","21720"
"Population","2011","Female","Aggregate Rural Area","Meath","Number","38995"
"Population","2011","Female","Aggregate Rural Area","Offaly","Number","21075"
"Population","2011","Female","Aggregate Rural Area","Westmeath","Number","22086"
"Population","2011","Female","Aggregate Rural Area","Wexford","Number","44781"
"Population","2011","Female","Aggregate Rural Area","Wicklow","Number","23466"
"Population","2011","Female","Aggregate Rural Area","Clare","Number","35037"
"Population","2011","Female","Aggregate Rural Area","Cork City","Number","0"
"Population","2011","Female","Aggregate Rural Area","Cork County","Number","96421"
"Population","2011","Female","Aggregate Rural Area","Kerry","Number","46273"
"Population","2011","Female","Aggregate Rural Area","Limerick City and County","Number","43386"
"Population","2011","Female","Aggregate Rural Area","Tipperary","Number","45462"
"Population","2011","Female","Aggregate Rural Area","Waterford City and County","Number","21287"
"Population","2011","Female","Aggregate Rural Area","Galway City","Number","0"
"Population","2011","Female","Aggregate Rural Area","Galway County","Number","66624"
"Population","2011","Female","Aggregate Rural Area","Leitrim","Number","13945"
"Population","2011","Female","Aggregate Rural Area","Mayo","Number","45613"
"Population","2011","Female","Aggregate Rural Area","Roscommon","Number","23211"
"Population","2011","Female","Aggregate Rural Area","Sligo","Number","20296"
"Population","2011","Female","Aggregate Rural Area","Cavan","Number","24976"
"Population","2011","Female","Aggregate Rural Area","Donegal","Number","57721"
